"order_month","revenue","total_orders","previous_month_revenue","previous_month_orders","revenue_growth_percentage","order_growth_percentage"
"2016-10-01",46490.66,265,143.46,1,32306.71,26400.00
"2016-12-01",19.62,1,46490.66,265,-99.96,-99.62
"2017-01-01",127482.37,750,19.62,1,649657.24,74900.00
"2017-02-01",271239.32,1653,127482.37,750,112.77,120.40
"2017-03-01",414330.95,2546,271239.32,1653,52.75,54.02
"2017-04-01",390812.40,2303,414330.95,2546,-5.68,-9.54
"2017-05-01",566851.40,3546,390812.40,2303,45.04,53.97
"2017-06-01",490050.37,3135,566851.40,3546,-13.55,-11.59
"2017-07-01",566299.08,3872,490050.37,3135,15.56,23.51
"2017-08-01",645832.36,4193,566299.08,3872,14.04,8.29
"2017-09-01",701077.49,4150,645832.36,4193,8.55,-1.03
"2017-10-01",751117.01,4478,701077.49,4150,7.14,7.90
"2017-11-01",1153364.20,7289,751117.01,4478,53.55,62.77
"2017-12-01",843078.29,5513,1153364.20,7289,-26.90,-24.37
"2018-01-01",1077887.46,7069,843078.29,5513,27.85,28.22
"2018-02-01",966168.41,6555,1077887.46,7069,-10.36,-7.27
"2018-03-01",1120598.24,7003,966168.41,6555,15.98,6.83
"2018-04-01",1132878.93,6798,1120598.24,7003,1.10,-2.93
"2018-05-01",1128774.52,6749,1132878.93,6798,-0.36,-0.72
"2018-06-01",1011978.29,6099,1128774.52,6749,-10.35,-9.63
"2018-07-01",1027807.28,6159,1011978.29,6099,1.56,0.98
"2018-08-01",985491.64,6351,1027807.28,6159,-4.12,3.12
