"category","total_revenue","revenue_contribution_percentage","revenue_rank"
"health_beauty",1412089.53,9.16,1
"watches_gifts",1264333.12,8.20,2
"bed_bath_table",1225209.26,7.95,3
"sports_leisure",1118256.91,7.25,4
"computers_accessories",1032723.77,6.70,5
"furniture_decor",880329.92,5.71,6
"housewares",758392.25,4.92,7
"cool_stuff",691680.89,4.49,8
"auto",669454.75,4.34,9
"garden_tools",567145.68,3.68,10
"toys",547061.06,3.55,11
"baby",466727.65,3.03,12
"perfumery",443171.63,2.87,13
"telephony",379202.62,2.46,14
"office_furniture",335211.36,2.17,15
"stationery",269575.05,1.75,16
"pet_shop",250614.20,1.63,17
"computers",228349.76,1.48,18
"musical_instruments",202187.12,1.31,19
"electronics",200723.09,1.30,20
