"order_month","delivered_orders","average_review_score","average_delivery_days","late_delivery_rate_percentage"
"2016-09-01",1,1.00,54.81,100.00
"2016-10-01",262,4.01,19.31,0.76
"2016-12-01",1,5.00,4.69,0.00
"2017-01-01",741,4.20,12.58,2.97
"2017-02-01",1643,4.20,12.95,2.80
"2017-03-01",2527,4.19,12.95,5.50
"2017-04-01",2290,4.14,14.84,7.73
"2017-05-01",3517,4.24,11.26,3.44
"2017-06-01",3111,4.22,11.99,3.79
"2017-07-01",3842,4.26,11.55,3.36
"2017-08-01",4165,4.31,11.15,3.31
"2017-09-01",4118,4.27,11.82,5.12
"2017-10-01",4446,4.21,11.81,5.15
"2017-11-01",7237,3.99,15.13,14.15
"2017-12-01",5461,4.09,15.34,8.26
"2018-01-01",7013,4.11,14.03,6.49
"2018-02-01",6507,3.88,16.91,15.89
"2018-03-01",6948,3.81,16.22,21.06
"2018-04-01",6752,4.21,11.46,5.20
"2018-05-01",6722,4.24,11.40,8.18
"2018-06-01",6072,4.31,9.24,1.37
"2018-07-01",6118,4.32,8.93,4.35
"2018-08-01",6330,4.31,7.73,10.28
