"seller_state","total_sellers","total_orders","total_revenue","average_review_score"
"SP",1769,68641,9957056.91,4.05
"PR",335,7512,1424161.25,4.13
"MG",236,7735,1184427.54,4.16
"RJ",163,4227,911918.67,4.17
"SC",184,3603,717739.37,4.13
"RS",125,1962,429749.09,4.25
"BA",18,550,297146.93,4.16
"DF",30,808,112892.78,4.07
"PE",9,403,103486.10,4.15
"GO",39,451,77089.48,4.31
"ES",22,310,58853.49,4.07
"MA",1,389,48169.50,4.02
"CE",12,87,23724.05,4.28
"MT",4,136,21623.67,4.19
"PB",6,35,17844.43,3.94
"RN",5,51,11296.71,4.27
"MS",5,49,9750.65,4.47
"RO",2,14,5474.98,3.86
"PI",1,11,2791.55,4.36
"SE",2,9,1924.69,3.90
"PA",1,8,1393.11,4.50
"AM",1,3,1258.80,2.33
