"order_month","total_reviewed_orders","average_review_score"
"2016-09-01",4,1.00
"2016-10-01",319,3.56
"2016-12-01",1,5.00
"2017-01-01",790,4.06
"2017-02-01",1768,4.02
"2017-03-01",2661,4.07
"2017-04-01",2387,4.05
"2017-05-01",3666,4.14
"2017-06-01",3218,4.15
"2017-07-01",3990,4.18
"2017-08-01",4298,4.24
"2017-09-01",4251,4.19
"2017-10-01",4593,4.12
"2017-11-01",7480,3.91
"2017-12-01",5612,4.02
"2018-01-01",7201,4.04
"2018-02-01",6672,3.83
"2018-03-01",7148,3.75
"2018-04-01",6883,4.16
"2018-05-01",6839,4.19
"2018-06-01",6141,4.28
"2018-07-01",6247,4.26
"2018-08-01",6485,4.26
"2018-09-01",15,1.80
"2018-10-01",4,2.25
