"customer_state","delivered_orders","average_delivery_days","late_delivery_rate_percentage","average_review_score"
"AL",397,24.54,23.93,3.85
"MA",717,21.57,19.67,3.83
"PI",476,19.46,15.97,3.99
"CE",1279,21.27,15.32,3.94
"SE",335,21.52,15.22,3.91
"BA",3256,19.34,14.04,3.93
"RJ",12350,15.31,13.47,3.97
"TO",274,17.66,12.77,4.15
"PA",946,23.77,12.37,3.91
"ES",1995,15.79,12.23,4.08
"RR",41,29.39,12.20,3.90
"MS",701,15.62,11.55,4.16
"PB",517,20.43,11.03,4.08
"PE",1593,18.45,10.80,4.08
"RN",474,19.28,10.76,4.15
"SC",3546,14.95,9.76,4.13
"GO",1957,15.61,8.18,4.10
"RS",5344,15.30,7.15,4.19
"DF",2080,12.97,7.07,4.13
"MT",886,18.06,6.77,4.15
"SP",40494,8.76,5.89,4.25
"MG",11354,12.01,5.61,4.19
"PR",4923,11.99,5.00,4.24
"AP",67,27.19,4.48,4.24
"AM",145,26.43,4.14,4.24
"AC",80,21.04,3.75,4.09
"RO",243,19.37,2.88,4.17
