"category","total_orders","total_items_sold","total_revenue","average_item_price","average_review_score","average_delivery_days","late_delivery_rate_percentage"
"health_beauty",8647,9465,1412089.53,130.28,4.19,11.98,9.05
"watches_gifts",5495,5859,1264333.12,199.04,4.07,12.66,8.28
"bed_bath_table",9272,10953,1225209.26,93.44,3.92,12.81,8.40
"sports_leisure",7530,8431,1118256.91,113.25,4.17,12.15,7.41
"computers_accessories",6530,7644,1032723.77,116.26,3.99,13.23,7.77
"furniture_decor",6307,8160,880329.92,87.25,3.95,12.88,8.43
"housewares",5743,6795,758392.25,90.60,4.11,10.92,6.49
"cool_stuff",3559,3718,691680.89,164.12,4.19,12.36,6.75
"auto",3810,4140,669454.75,139.85,4.12,12.23,8.29
"garden_tools",3448,4268,567145.68,110.24,4.08,13.71,7.97
"toys",3804,4030,547061.06,116.94,4.21,11.70,7.42
"baby",2809,2982,466727.65,134.28,4.08,12.52,8.79
"perfumery",3086,3340,443171.63,116.81,4.22,11.76,7.34
"telephony",4093,4430,379202.62,69.95,3.99,12.86,8.33
"office_furniture",1254,1668,335211.36,160.76,3.51,20.84,8.93
"stationery",2264,2466,269575.05,90.75,4.25,12.74,8.03
"pet_shop",1688,1924,250614.20,110.03,4.22,11.23,6.13
"computers",177,199,228349.76,1098.92,4.22,13.51,6.53
"musical_instruments",611,651,202187.12,283.13,4.22,12.98,8.60
"electronics",2517,2729,200723.09,56.81,4.07,12.89,9.75
"small_appliances",609,658,198108.47,277.74,4.23,10.78,5.93
"unknown",1392,1537,197695.69,111.08,3.94,12.79,9.37
"fashion_bags_accessories",1820,1985,179888.29,75.23,4.19,11.08,6.25
"luggage_accessories",1019,1077,168778.12,128.79,4.35,10.67,5.39
"consoles_games",1018,1089,167097.73,135.91,4.14,13.61,7.81
"construction_tools_construction",736,916,162382.01,155.14,4.09,10.73,8.08
"home_appliances_2",227,231,118208.52,467.33,4.16,13.91,6.93
"home_construction",483,596,95022.37,136.59,3.96,13.21,8.22
"home_appliances",747,754,93301.78,104.55,4.22,11.29,6.76
"furniture_living_room",414,495,85045.07,136.06,3.93,13.80,7.88
"agro_industry_and_commerce",177,206,76203.30,342.55,4.09,11.64,4.37
"home_confort",392,429,66438.22,135.22,3.85,13.53,10.26
"air_conditioning",246,289,59854.55,184.51,4.05,12.26,3.81
"fixed_telephony",212,255,59816.54,216.92,3.76,12.68,4.31
"kitchen_dining_laundry_garden_furniture",241,274,57072.97,166.18,4.03,11.88,4.38
"audio",348,362,56255.32,139.70,3.84,13.32,12.71
"books_general_interest",496,537,54182.54,84.36,4.51,11.61,6.53
"small_appliances_home_oven_and_coffee",72,73,49245.90,638.21,4.44,9.83,6.85
"construction_tools_lights",242,301,47447.14,132.75,4.08,9.72,9.97
"industry_commerce_and_business",232,265,46079.34,145.28,4.13,10.76,7.58
"construction_tools_safety",159,183,42504.02,211.88,3.97,11.92,5.46
"food",441,499,35794.68,57.58,4.26,9.56,9.82
"market_place",274,305,33114.38,91.13,4.07,12.16,4.26
"costruction_tools_garden",190,232,30283.94,108.17,4.12,11.88,7.33
"fashion_shoes",235,257,27814.83,89.50,4.29,15.44,5.84
"signaling_and_security",138,197,27792.59,108.20,4.09,10.43,5.58
"art",195,197,27485.53,120.09,4.08,11.36,7.61
"drinks",287,361,26971.11,59.64,4.12,10.43,5.54
"furniture_bedroom",90,103,23379.22,184.97,4.25,13.24,7.77
"books_technical",256,263,22901.07,71.11,4.39,10.65,11.03
"food_drink",221,269,19337.77,55.55,4.37,10.89,6.32
"costruction_tools_tools",97,103,17934.17,154.41,4.44,12.08,5.83
"fashion_male_clothing",106,125,12514.95,83.62,3.76,12.95,5.60
"christmas_supplies",125,150,11928.75,58.25,4.07,15.74,12.00
"fashion_underwear_beach",117,127,11160.02,73.28,4.05,13.71,12.60
"tablets_printing_image",79,83,8754.61,90.70,4.12,13.00,7.23
"cine_photo",63,70,7902.18,95.35,4.29,10.57,7.14
"dvds_blu_ray",56,61,5769.84,74.47,4.18,12.96,6.56
"books_imported",50,57,5150.94,77.52,4.51,8.13,3.51
